Código BIP	Nombre Iniciativa	Sub Sector	Nombre de las fuentes	RATE	Costo Total
20121291-0	"AMPLIACION ESCUELA ESPAÑA D-122, LOS ANDES"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	209607
20121384-0	CONSTRUCCION CENTRO ABIERTO EL TABO	EDUCACION PREBASICA	F.N.D.R.	RS	144662
20122468-0	"AMPLIACION LICEO MAX SALAS MARCHANT, LOS ANDES"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RA	160389
20124267-0	APLICACION SISTEMA FINANCIAMENTO TESIS UNIV. DE INTERES  REGIONAL	EDUCACION SUPERIOR	F.N.D.R.	RA	211737
20131318-0	AMPLIACION ESCUELA E-64 JOHN KENNEDY	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RA	208546
20131327-0	AMPLIACION ESCUELA E-65 JOSE A. MANSO DE VELASCO	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	274961
20131355-0	"REPOSICION Y MEJORAMIENTO ESCUELA F-132 , EL SAUCE, LOS ANDES"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	163800
20131474-0	REPARACION Y MEJORAMIENTO ESCUELA D-384 GABRIELA MISTRAL	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	61814
20131476-0	AMPLIACION Y MEJORAMIENTO ESCUELA E-382 LOS MAITENES	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	75348
20131602-0	"MEJORAMIENTO INFRAESTRUCTURA ESCUELA G-42 , CABILDO"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RA	102708
20131902-0	"AMPLIACION ESCUELA E-350 IRMA SALAS SILVA, CONCON"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	146215
20135267-0	ANALISIS LINEAMIENTOS DE LA ESTRATEGIA DE DESARROLLO EDUCATIVO 	ADMINISTRACION EDUCACION Y CULTURA	F.N.D.R.	OT	75100
20135279-0	REPOSICION Y AMPLIACION ESCUELA BASICA LA CHOCOTA	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	290464
20135340-0	HABILITACION ESCUELA A-25	EDUCACION BASICA Y MEDIA	F.N.D.R.	RA	588442
20135839-0	"AMPLIACION ESCUELA LLIU LLIU, LIMACHE"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	36546
20135841-0	"REPOSICION ESCUELA G-380 LO GAMBOA, LIMACHE"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	70385
20135849-0	NORMALIZACION ESCUELA BASICA F-495 SAN SEBASTIAN E. SUBERCASEUX	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	165685
20136166-0	MEJORAMIENTO ESCUELA INTERNADO F-75	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	196970
20136168-0	"MEJORAMIENTO ESCUELA G-93, BELLAVISTA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	67943
20136170-0	"MEJORAMIENTO ESCUELA G-106, EL ASIENTO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	54984
20136232-0	REPOSICION INFRAESTRUCTURA ESCUELA G-212 LAS PALMAS	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	52800
20136234-0	REPOSICION INFRAESTRUCTURA ESCUELA G-213 LAS PEÑAS	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	67060
20136236-0	REPOSICION INFRAESTRUCTURA ESCUELA G-219 LAS VEGAS	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	71081
20136244-0	AMPLIACION MEJORAMIENTO Y EQUIPAMIENTO ESCUELA RURAL LA PEÑA	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	119446
20136247-0	EQUIPAMIENTO CONFEC. CORTINA DE BOCA-ACCESORIOS MONTAJE T. MUNICIPAL	ARTE Y CULTURA	F.N.D.R.	RS	32901
20136251-0	"AMPLIACION Y REPOSICION ESCUELA BASICA EL TOTORAL, SECTOR RURAL"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RA	117331
20136487-0	MEJORAMIENTO ESCUELA RURAL G-421 P. VICENTE E. PINTO	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	53750
20136489-0	MEJORAMIENTO ESCUELA  G-418 TENIENTE SERRANO	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	157989
20136491-0	MEJORAMIENTO ESCUELA RURAL G-420 LOS PERALES	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	54850
20136497-0	MEJORAMIENTO ESCUELA RURAL G-419 LOS MOLLES	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	59430
20136499-0	MEJORAMIENTO ESCUELA G-428 THEODOR HEUSS	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	281490
20136581-0	"NORMALIZACION ESCUELA E-359, CANAL BEAGLE, VIÑA DEL MAR"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	390387
20136651-0	NORMALIZACION ESCUELA F-347 - CENTRO  EDUCATIVO - VINA DEL MAR	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	254052
20136657-0	REPOSICION ESCUELA E-374 - PATRICIO LYNCH - VINA DEL MAR	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	192737
20137225-0	RESTAURACION Y MEJORAMIENTO TEATRO MUNICIPAL DE VI±A DEL  MAR	ARTE Y CULTURA	F.N.D.R.	FI	267000
20137235-0	RESTAURACION Y MEJORAMIENTO PALACIO VERGARA	ARTE Y CULTURA	F.N.D.R.	FI	137000
20138631-0	"CONSTRUCCION BIBLIOTECA MUNICIPAL  HNO. EMETERIO JOSE , LOS ANDES"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	377126
20142408-0	"RESTAURACION CASA DE DON PEDRO AGUIRRE CERDA, POCURO, CALLE LARGA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	64476
20144197-0	CONSTRUCCION DE CENTRO PARA EL DESARROLLO ARTISTICO CULTURAL	ARTE Y CULTURA	F.N.D.R.	OT	81295
20146329-0	EQUIPAMIENTO LABORATORIO CONTROL CALIDAD ESCUELA QUIMICA Y FARMACIA	EDUCACION SUPERIOR	F.N.D.R.	RS	127332
20146766-0	REPARACION INFRAESTRUCTURA ESCUELA BELLAS ARTES DE VALPARAISO	ARTE Y CULTURA	F.N.D.R.	RS	81707
20147971-0	CONSTRUCCION INSTITUTO TECNOLOGICO UNIVERSIDAD PLAYA ANCHA	EDUCACION SUPERIOR	F.N.D.R.	OT	641817
20147980-0	DIFUSION DE LA DANZA EN LA REGION DE VALPARAISO	ARTE Y CULTURA	F.N.D.R.	RA	42805
20148387-0	"AMPLIACION LICEO ANDRES BELLO LOPEZ E-431, EL BELLOTO"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	300592
20148848-0	"AMPLIACION ESCUELA D-438, JORGE ROCK LARA, QUILPUE"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	293833
20149331-0	"EQUIPAMIENTO CARPA ITINERANTE EVENTOS CULTURALES, CONCON"	ARTE Y CULTURA	F.N.D.R.	OT	27904
20149432-0	EQUIPAMIENTO DE TALLERES ARTISTICO CULTURALES ESC. MUNICIPALIZADAS	ARTE Y CULTURA	F.N.D.R.	OT	9854
20149468-0	"CONSTRUCCION Y MEJORAMIENTO ESCUELA G-399 EL PATAGUAL, V. ALEMANA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	20974
20149471-0	"CONSTRUCCION Y MEJORAMIENTO ESCUELA E-410 CATALUNYA, V. ALEMANA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	151419
20149524-0	"REPARACION CASA DE LA CULTURA, LOS ANDES"	ARTE Y CULTURA	F.N.D.R.	RA	11179
20149945-0	MEJORAMIENTO CIRCULO CULTURAL 	CAPACITACION EDUCACION Y CULTURA	F.N.D.R.	RS	76241
20152411-0	CONSTRUCCION SOLUCION INTEGRAL ESCUELAS BASICAS CASABLANCA URBANO	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	597815
20152432-0	"CONSTRUCCION ANEXO LICEO CLARA SOLOVERA, EL QUISCO"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	OT	449611
20152464-0	"AMPLIACION LICEO MARIA LUISA BOMBAL, VALPARAISO"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RA	475334
20152466-0	"AMPLIACION ESCUELA BASICA JOAQUIN EDWARDS BELLO, VALPARAISO"	EDUCACION BASICA Y MEDIA	SECTORIAL	OT	174557
20152469-0	"AMPLIACION ESCUELA BASICA REPUBLICA DE BOLIVIA, VALPARAISO"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RA	128015
20152550-0	CONSTRUCCION AULAS LICEO SAN FELIPE	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RA	221735
20152733-0	"AMPLIACION ESCUELA D-329, VINA DEL MAR"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RA	284700
20152781-0	"AMPLIACION ESCUELA GABRIELA MISTRAL F-129, LOS ANDES"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	143065
20152862-0	"NORMALIZACION ESCUELA BASICA ARAUCARIA, CABILDO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	237268
20153800-0	"REPARACION Y MEJORAMIENTO CINE TEATRO MUNICIPAL, LLAY- LLAY"	ARTE Y CULTURA	F.N.D.R.	RS	65669
20153852-0	"HABILITACION SALA DE ARTE Y CULTURA, SAN FELIPE"	ARTE Y CULTURA	F.N.D.R.	RS	113383
20154045-0	"CONSTRUCCION CIERRES PERIMETRALES VARIAS ESCUELAS, SAN ESTEBAN"	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	75000
20154824-0	"REPOSICION ESCUELA JOHN KENNEDY, LOS ANDES"	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	277532
20154826-0	"AMPLIACION ESCUELA RIO BLANCO, LOS ANDES"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	211614
20154828-0	"ADQUISICION BUS ESCOLAR SECTOR CORDILLERA, LOS ANDES"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	58710
20154995-0	"ADQUISICION BUSES ESCOLARES, CASABLANCA"	INTERSUBSECTORIAL EDUCACION Y CULTURA	F.N.D.R.	RA	89265
20155301-0	"RESTAURACION CENTRO DE LA CULTURA, MANUEL MONTT, PETORCA"	ARTE Y CULTURA	F.N.D.R.	RS	35668
20155372-0	CONSTRUCCION Y REPARACION COMEDOR Y SALON ESCUELA BRASILIA	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	59156
20155374-0	"CONSTRUCCION SALA DE PROFESORES ESCUELA N0. 88, LIMACHE"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	24116
20155377-0	ADQUISICION TRANSPORTE ESCOLAR SECTORES MAITENES ALTO- LA PALOMA	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	56000
20155378-0	ADQUISICION TRANSPORTE ESCOLAR SECTORES TABOLANGO Y LA VICTORIA	EDUCACION BASICA Y MEDIA	F.N.D.R.	RA	56531
20155471-0	"AMPLIACION DEL MUSEO CASA DE LA CULTURA, JUAN FERNANDEZ"	ARTE Y CULTURA	F.N.D.R.	RS	47402
20155528-0	"RESTAURACION Y MEJORAMIENTO PALACIO RIOJA,,  VI±A DEL MAR."	ARTE Y CULTURA	F.N.D.R.	FI	137000
20155536-0	"ADQUISICION BUS ESCOLAR, ZAPALLAR"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	57489
20155732-0	"ADQUISICION Y EQUIPAMIENTO VEHICULO BIBLIOTECA RURAL, QUILLOTA"	ARTE Y CULTURA	F.N.D.R.	RA	15369
20155733-0	"REPOSICION ESCUELA RAMON FREIRE E-175, QUILLOTA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	513907
20156035-0	CONSTRUCCION PLAZA-ESCULTURA DE LOS POETAS	ARTE Y CULTURA	F.N.D.R.	FI	61569
20156115-0	DIFUSION FESTIVAL DE TEATRO DE VALPARAISO	ARTE Y CULTURA	F.N.D.R.	RS	57816
20156119-0	ADQUISICION BUS TEATRO MUNICIPAL DE VALPARAISO	ARTE Y CULTURA	F.N.D.R.	FI	26921
20156578-0	"RESTAURACION Y MEJORAMIENTO PALACIO CARRASCO,  VI±A DEL MAR"	ARTE Y CULTURA	F.N.D.R.	FI	137000
20160991-0	"RESTAURACION Y MEJORAMIENTO CASTILLO WÜLF, COMUNA DE VIÑA DEL MAR"	ARTE Y CULTURA	F.N.D.R.	FI	122000
20164366-0	"CONSTRUCCION SALA DE CLASES, SALA DE PROFESORES ESC.RURAL MANTAGUA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	29988
20164543-0	"MEJORAMIENTO ESCUELA G-324 TABOLANGO, LIMACHE"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	15527
20164659-0	"MEJORAMIENTO ESCUELA F-341 SANTA MARIA, II ETAPA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	98586
20165176-0	"CONSTRUCCION ESCUELA F-377 LIMACHITO, LIMACHE"	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	32592
20165486-0	APLICACION CONCURSO INTERNAC. PIANO CLAUDIO ARRAU PARA ESTUDIANTES	ARTE Y CULTURA	F.N.D.R.	OT	17500
20165491-0	MEJORAMIENTO SALA DE VINA DEL MAR	ARTE Y CULTURA	F.N.D.R.	RS	108400
20165945-0	"CONSTRUCCION JARDIN INFANTIL FAMILIAR, LAS PATAGUAS, QUILLOTA"	EDUCACION PREBASICA	F.N.D.R.	RS	53233
20165954-0	AMPLIACION Y RESTAURAC. MUSEO ARQUEOLOGICO Y BIBLIOTECA MUNICIPAL	INTERSUBSECTORIAL EDUCACION Y CULTURA	F.N.D.R.	FI	43861
20165983-0	"REPOSICION Y AMPLIACIÓN ESCUELA LEZANA PINCHEIRA, VIÑA DEL MAR"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	69739
20166152-0	"AMPLIACION ESCUELA D-348, IGNACIO CARRERA PINTO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	156992
20166234-0	CONSTRUCCION JARDIN FAMILIAR	INTERSUBSECTORIAL EDUCACION Y CULTURA	F.N.D.R.	OT	35707
20166411-0	"AMPLIACION CENTRO EDUCATIVO FLORIDA, VALPARAISO"	EDUCACION BASICA Y MEDIA	SECTORIAL	OT	43900
20166412-0	"AMPLIACION Y EQUIPAMIENTO ESCUELA E-298 ESPAÑA, VALPARAISO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	566528
20166413-0	"AMPLIACION CENTRO CAPACITACION LABORAL, VALPARAISO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	36583
20166415-0	"AMPLIACION LICEO PEDRO MONTT, VALPARAISO"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	OT	292671
20166501-0	CONSTRUCCION Y MEJORAMIENTO ESCUELA E-397 WINDMILL COLLEGE	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	202008
20166753-0	"ADQUISICION TRANSPORTE ESCOLAR ZONA RURAL, CABILDO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	91859
20166829-0	ADQUISICION BUS TRANSPORTE ESCOLAR ESTUDIANTES RURALES	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	55487
20167016-0	"ADQUISICION VEHICULO PARA TRANSPORTE MUNICIPAL, NOGALES"	EDUCACION BASICA Y MEDIA	F.N.D.R. - MUNICIPAL	OT	57999
20167041-0	ADQUISICION DE EQUIPOS CASA DE LA CULTURA EL MELON	ARTE Y CULTURA	F.N.D.R.	RS	15364
20167071-0	"EQUIPAMIENTO COMPUTACIONAL LICEO POLITECNICO B-17, LA CALERA"	ADMINISTRACION EDUCACION Y CULTURA	F.N.D.R.	OT	31847
20167098-0	"AMPLIACION ESCUELA LA PARVA, ACHUPALLAS, VI±A DEL MAR"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	191475
20167447-0	PROTECCION Y DIFUSION CULTURA TRADICIONAL TAPATI RAPA NUI	ARTE Y CULTURA	SECTORIAL - F.N.D.R. - MUNICIPAL	RS	190826
20169140-0	DIFUSION V BIENAL INTERNACIOAL DE COROS DE NI?OS DE VI?A DEL MAR	ARTE Y CULTURA	F.N.D.R. - MUNICIPAL	OT	58709
20169272-0	EQUIPAMIENTO COMPUTACIONAL CONSERVATORIO IZIDOR HANDLER VIÑA DEL MAR	ARTE Y CULTURA	F.N.D.R.	OT	4180
20169332-0	CONSTRUCCION LICEO NUEVA AURORA	EDUCACION MEDIA TECNICO	SECTORIAL - F.N.D.R.	OT	821642
20169610-0	CONSTRUCCION SOLUCION INTEGRAL ESCUELA BASICA NUEVA AURORA	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	OT	591355
20169698-0	REPOSICION ESCUELA BASICA E -351 ADRIANO MACHADO	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	480151
20169995-0	NORMALIZACION ESCUELA BASICA F - 337 VILLA MONTE	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	85447
20170172-0	AMPLIACION LICEO POLITECNICO A - 31 JOSE FRANCISCO VERGARA	EDUCACION MEDIA TECNICO	SECTORIAL	FI	420824
20170204-0	REPOSICION Y AMPLIACION ESC. BASICA F - 352 CARDENAL J. MARIA CARO	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	230340
20170251-0	REPOSICION CENTRO INTEGRAL DE ADULTOS	EDUCACION PARA ADULTOS	F.N.D.R.	FI	317000
20170986-0	DIFUSION EDICION DE COLECCION DE DISCOS COMPACTOS REGIONALES	ARTE Y CULTURA	F.N.D.R.	RS	66701
20171481-0	DIFUSION ACCIONES CULTURALES PARA JOVENES BALMACEDA 1215	ARTE Y CULTURA	F.N.D.R.	RS	144160
20172602-0	CONSTRUCCION SOLUC. INTEGRAL LICEO D. PARRAGEZ - ESC. MOVILIZ. PORT.	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	1104277
20172621-0	"CONSTRUCCION ANEXO F-400, LICEO MARY GRAHAM, V. ALEMANA"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	291087
20172624-0	"AMPLIACION ESCUELA BASICA D-405, MANUEL BAQUEDANO, V. ALEMANA"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	251752
20172651-0	AMPLIACION Y MEJORAMIENTO LICEO REPUBLICA DE ESTADOS UNIDOS	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	253566
20172654-0	AMPLIACION LICEO VALPARAISO	EDUCACION BASICA Y MEDIA	SECTORIAL	OT	231001
20172658-0	AMPLIACION ADECUACION Y EQUIPAMIENTO ESCUELA ARGENTINA F-297	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	OT	239363
20172659-0	AMPLIACION ESCUELA NACIONES UNIDAS	EDUCACION BASICA Y MEDIA	SECTORIAL	OT	171421
20172660-0	AMPLIACION LICEO COMPUTACIONAL	EDUCACION BASICA Y MEDIA	SECTORIAL	OT	617745
20172661-0	AMPLIACION HABILITACIÓN Y EQUIPAMIENTO ESCUELA BLAS CUEVAS D-307	EDUCACION BASICA Y MEDIA	SECTORIAL	OT	77348
20172662-0	AMPLIACION ESCUELA GRECIA	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	OT	411830
20172663-0	AMPLIACION LICEO EDUARDO DE LA BARRA	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	OT	422282
20172664-0	AMPLIACION LICEO HERNAN OLGUIN	EDUCACION BASICA Y MEDIA	SECTORIAL	OT	28744
20172666-0	AMPLIACION LICEO BARON	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	335200
20172667-0	AMPLIACION ESCUELA BRASIL	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	159349
20172668-0	AMPLIACION ESCUELA ALEMANA	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	OT	134837
20172670-0	AMPLIACION ESCUELA GASPAR CABRALES	EDUCACION BASICA Y MEDIA	SECTORIAL	OT	61670
20172674-0	AMPLIACION ESCUELA RAMON BARROS LUCO	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	OT	166195
20172675-0	AMPLIACION ESCUELA URUGUAY	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	OT	155742
20172676-0	AMPLIACION COMPLEJO EUSEBIO LILLO	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	OT	1567881
20172683-0	"AMPLIACION Y MEJORAMIENTO ESCUELA LAS ACACIAS E-201, CALERA"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	141058
20172694-0	"CONSTRUCCION ESCUELA NUEVA VILLA CORDILLERA, SAN FELIPE"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	1140437
20172695-0	AMPLIACION Y MEJORAMIENTO ESCUELA E-62 JOSE DE SAN MARTIN	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	431375
20172696-0	AMPLIACION Y MEJORAMIENTO ESCUELA F-68 BUEN PASTOR	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	358583
20172713-0	"NORMALIZACION PARA JEC. ESCUELA REPUBLICA EL SALVADOR, VALPO"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	95934
20172747-0	"AMPLIACION ESCUELA F-476 POETA HUIDOBRO, SAN ANTONIO"	EDUCACION BASICA Y MEDIA	SECTORIAL	FI	88692
20172771-0	"AMPLIACION Y MEJORAMIENTO COLEGIO GENERAL VELÀSQUEZ, PUCHUNCAVÌ"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R. - MUNICIPAL	RS	384572
20172775-0	"AMPLIACION Y ADECUACION LICEO MANUEL MARIN FRITIS, PUTAENDO"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	320810
20172800-0	CONSTRUCCION ANEXO ESCUELA SAN JOSÉ DE CALASANZ	EDUCACION BASICA Y MEDIA	SECTORIAL	FI	328260
20172805-0	"AMPLIACION Y ADECUACION ESCUELA E-124, REPUBLICA DE GUATEMALA"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	251809
20172832-0	AMPLIACION Y ADECUACION ESCUELA F-348 VILLA INDEPENDENCIA	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	262739
20172840-0	AMPLIACION Y  REPOSICION ESCUELA F-362 LOS ALMENDROS (EL LIBANO)	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	OT	192899
20172842-0	AMPLIACION Y REPOSICION ESCUELA F-363 JOHN KENNEDY  VINA DEL MAR	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	267649
20172843-0	AMPLIACION Y ADECUACION ESCUELA E-364 SALVADOR ALLENDE	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	169307
20172845-0	AMPLIACION Y ADECUACION ESCUELA E-338 GASTON OSSA SAINT MARIE	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	248611
20172846-0	"AMPLIACION  Y ADECUACION LICEO COMERCIAL C-27, QUILLOTA"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	564315
20172847-0	AMPLIACION Y ADECUACION ESCUELA D-346 TEODORO LOWEY  	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	291560
20172848-0	AMPLIACION Y ADECUACION ESCUELA D-320 ORLANDO PENA CARVAJAL	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	184378
20172856-0	AMPLIACION Y ADECUACION ESCUELA F-436	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	RS	161966
20173528-0	"AMPLIACION REPOSICION ESC.BASICA POETA NERUDA, ISLA NEGRA-EL QUISC"	EDUCACION BASICA Y MEDIA	SECTORIAL - F.N.D.R.	FI	325766
20174217-0	HABILITACION Y EQUIPAMIENTO CENTRO DE ESTUDIOS REGIONALES	EDUCACION SUPERIOR	F.N.D.R.	RS	26495
20174661-0	DIFUSION MUSICAL INTERACTIVA EN COMUNAS DE LA V REGION	ARTE Y CULTURA	F.N.D.R.	RS	53049
20175319-0	DIFUSION DANZA EN LA REGION DE VALPARÍSO	ARTE Y CULTURA	F.N.D.R.	RS	60972
20175320-0	DIFUSION TEATRAL INTERACTIVA 	ARTE Y CULTURA	F.N.D.R.	RS	61553
20175321-0	DIFUSION PUBLICACIONES LITERARIAS	ARTE Y CULTURA	F.N.D.R.	RS	61384
20175323-0	DIFUSION OBRAS PLASTICAS	ARTE Y CULTURA	F.N.D.R.	RS	63200
20175899-0	"CONSTRUCCION ESPACIO DE JUEGO INTERACTIVO, ESCUELA BRASILIA, LIMACHE"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FA	35721
20176042-0	REPOSICION Y EQUIPAMIENTO ESCUELA RURAL BUCALEMITO	EDUCACION BASICA Y MEDIA	F.N.D.R.	RA	56443
20176160-0	CONSTRUCCION Y REPOSICIÓN  SS.HH ESCUELA JAHUELITO  EX G-116	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	27100
20176477-0	RECUPERACION DE LA IDENTIDAD DE VALPARAÍSO	ARTE Y CULTURA	F.N.D.R.	OT	39738
20176508-0	DIFUSION PERIODICO  EL MIRADOR DE LUKAS 	ARTE Y CULTURA	F.N.D.R.	OT	24214
20176610-0	ADQUISICION FURGON TRANSPORTE CENTRO DE ATENCION DIURNA	CAPACITACION EDUCACION Y CULTURA	F.N.D.R.	FI	13588
20177195-0	CONSTRUCCION JARDIN INFANTIL POBLACION CHILE BARRIO	INTERSUBSECTORIAL EDUCACION Y CULTURA	F.N.D.R.	OT	39563
20177296-0	AMPLIACION Y ADECUACION ESC. F-402 MELVINS JONES	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	182935
20177299-0	EQUIPAMIENTO ESCUELAS ENSEÑANZA BASICAS DE LA COMUNA	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	50000
20177301-0	EQUIPAMIENTO ESCUELAS DE ENSEÑANZA MEDIA DE LA COMUNA	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	58755
20177438-0	MANEJO INTENCIONADO DE LA EX-CÁRCEL DE VALPARAÍSO	ARTE Y CULTURA	F.N.D.R.	OT	74441
20177564-0	EQUIPAMIENTO COMPUTACIONAL COLEGIOS JORNADA COMPLETA.	ADMINISTRACION EDUCACION Y CULTURA	F.N.D.R.	OT	42246
20177649-0	AMPLIACION ESCUELA BASICA DE PAPUDO	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	469750
20177780-0	REPOSICION DEPTO. PROVINCIAL DE EDUCACION DE SAN FELIPE LOS ANDES	ADMINISTRACION EDUCACION Y CULTURA	SECTORIAL	OT	237341
20179338-0	"ADQUISICION VEHICULOS MUNICIPALES DE TRASLADO, CATEMU"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	85653
20179390-0	REPARACION MUSEO HISTORIA NATURAL DE VALPARAISO	ARTE Y CULTURA	SECTORIAL	FI	383500
20179469-0	"INVESTIGACION EL TOTORAL,400 AÑOS DE HISTORIA, RELATOS Y LEYENDAS. "	ARTE Y CULTURA	F.N.D.R.	FI	1895
