Código BIP	Nombre Iniciativa	Sub Sector	Nombre de las fuentes	RATE	Costo Total
30133036-0	ADQUISICION EQUIPAMIENTO CENTRO REPRODUCCION HUMANA UNIVERS. VALPO.	EDUCACION SUPERIOR	F.N.D.R.		178540
30134214-0	"ADQUISICION MODULOS DE SERVICIOS HIGIENICOS, ESCUELA QDA ALVARADO"	EDUCACION BASICA Y MEDIA	F.N.D.R.		59992
30134497-0	CONSERVACION PRIMER PISO Y FACHADA BIBLIOTECA REGIONAL DE VALPARAISO	ARTE Y CULTURA	SECTORIAL		29873
30134672-0	ADQUISICION JUEGOS INFANTILES PARA DIVERSAS ESCUELAS MUNICIPALES	EDUCACION PREBASICA	F.N.D.R.		46411
30134847-0	ADQUISICION JUEGOS INFANTILES Y OTROS PARA EDUCACIÓN PREBASICA V.A	EDUCACION PREBASICA	F.N.D.R.		47653
30134914-0	CONSERVACION  SALA ARQUEOLOGICA MUSEO DE SITIO ESTADIO	ARTE Y CULTURA	F.N.D.R.		89121
30134920-0	ADQUISICION SILLAS Y PODIUM PARA CULTURA.QUILPUE	ARTE Y CULTURA	F.N.D.R.		23202
30137058-0	"REPOSICION JARDIN INFANTIL PECECITOS DE COLORES,  SAN ANTONIO"	EDUCACION PREBASICA	MUNICIPAL - SECTORIAL	RS	299563
30137445-0	"ADQUISICION MODULOS DE SALA DE CLASES, ESCUELA QDA ALVARADO"	EDUCACION MEDIA TECNICO	F.N.D.R.		89996
30143772-0	"REPOSICION BIBLIOTECA MUNICIPAL, COMUNA DE SAN ANTONIO"	INTERSUBSECTORIAL EDUCACION Y CULTURA	F.N.D.R.	OT	1524275
30167072-0	"CONSTRUCCION LABORATORIO QUIMICA LICEO POLIVALENTE CHAGRES, CATEMU"	EDUCACION MEDIA TECNICO	F.N.D.R.		42123
30175975-0	ADQUISICION EQUIPOS DE AMPLIFICACIÓN TEATRO LICEO ROBERTO HUMERES O	ARTE Y CULTURA	F.N.D.R.		19900
30210222-0	CONSERVACION SECREDUC VALPARAISO- OFICINAS DE ATENCION PUBLICO	ADMINISTRACION EDUCACION Y CULTURA	SECTORIAL		42931
30210722-0	CONSERVACION SECREDUC VALPARAISO - INSTALACIÓN TERMOPANELES	ADMINISTRACION EDUCACION Y CULTURA	SECTORIAL		80000
30289732-0	RECUPERACION DE LA LENGUA RAPA NUI EN LA ISLA DE PASCUA	INTERSUBSECTORIAL EDUCACION Y CULTURA	F.N.D.R.	OT	394330
30298633-0	"CONSERVACION MUSEO HISTORICO PALMIRA ROMANO, COMUNA DE LIMACHE"	ARTE Y CULTURA	F.N.D.R.		195073
30317478-0	"CONSTRUCCION SALA CUNA Y NIVELES MEDIOS SANTA JULIA, VIÑA DEL MAR"	EDUCACION PREBASICA	SECTORIAL	FI	654219
30325023-0	"CONSTRUCCION  SALA CUNA Y NIVEL MEDIO, SECTOR CENTRAL, EL QUISCO "	EDUCACION PREBASICA	SECTORIAL	RS	461015
30341672-0	ADQUISICION EQUIPOS Y EQUIPAMIENTO FACULTAD ODONTOLOGIA UNIV. VALPO	EDUCACION SUPERIOR	F.N.D.R.		199526
30343838-0	ADQUISICION VEHICULO TRASLADO PACIENTES FAC. ODONTOLOGIA U. VALPO	EDUCACION SUPERIOR	F.N.D.R.		19765
30347022-0	CONSTRUCCION TALLER MONTAJE INDUSTRIAL LICEO SAN ESTEBAN	EDUCACION MEDIA TECNICO	F.N.D.R.		336175
30349525-0	ADQUISICION EQUIPAMIENTO SALA ARTES ESCÉNICAS CENTRO CULTURAL 	ARTE Y CULTURA	F.N.D.R.		57633
30350874-0	"ADQUISICION VEHICULOS PARA TRANSP. ESCOLAR, ESC. AGRÍCOLA CUNCUMEN"	EDUCACION BASICA Y MEDIA	F.N.D.R.		133700
30064543-0	"REPOSICION BIBLIOTECA MUNICIPAL, COMUNA SAN ANTONIO"	INTERSUBSECTORIAL EDUCACION Y CULTURA	F.N.D.R.	RS	46944
30065359-0	AMPLIACION FACULTAD DE CIENCIAS ECONOMICAS Y ADM UNIV. VALPAR	EDUCACION SUPERIOR	F.N.D.R.	RS	102362
30077123-0	"RESTAURACION DEL F. STA. BARBARA Y CUEVA PATR, COMUNA JUAN FERNANDEZ"	ARTE Y CULTURA	F.N.D.R.	RS	88911
30078248-0	"CONSTRUCCION CENTRO INTERDISCIPLINARIO DE NEUROCIENCIA, VALPARAISO"	EDUCACION SUPERIOR	F.N.D.R.	IN	45945
30078616-0	RESTAURACION IGLESIA Y CONVENTO SAN FRANCISCO DE CURIMON	ARTE Y CULTURA	F.N.D.R.	RS	63583
30078622-0	"RESTAURACION CAPILLA LO VICUÑA, COMUNA DE PUTAENDO."	ARTE Y CULTURA	F.N.D.R.	RS	48360
30078695-0	RESTAURACION Y PUESTA EN VALOR IGLESIA DE PETORCA Y SU ENTORNO	ARTE Y CULTURA	F.N.D.R.	RS	58235
30082127-0	"REPOSICION ESCUELA ARTURO ECHAZARRETA, CASABLANCA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	278006
30087910-0	"HABILITACION CENTRO CULTURAL ESTACION QUILLOTA, COMUNA DE QUILLOTA"	ARTE Y CULTURA	F.N.D.R.	RS	32595
30094784-0	"REPOSICION ESCUELA MULTIDEFICIT AMANECER, PUCHUNCAVI"	EDUCACION DIFERENCIAL Y ESPECIAL	F.N.D.R.	RS	45579
30099775-0	RESTAURACION  PALACIO VERGARA DE VIÑA DEL MAR	ARTE Y CULTURA	F.N.D.R.	RS	181441
30099807-0	RESTAURACION TEATRO MUNICIPAL DE VIÑA DEL MAR	ARTE Y CULTURA	F.N.D.R.	RS	159673
30105536-0	HABILITACION MUSEO DEL GRABADO DOCUMENTAL PATRIMONIAL VISUAL        	ARTE Y CULTURA	F.N.D.R.	RS	99126
30123693-0	REPOSICION JARDIN INFANTIL Y SALA CUNA SANDALITO DE JUAN FERNANDEZ	EDUCACION PREBASICA	F.N.D.R.	RS	50601
30126535-0	RESTAURACION NUEVE ASCENSORES DE VALPARAISO	ARTE Y CULTURA	F.N.D.R.	RS	1170094
30130805-0	REPOSICION COLEGIO EL QUISCO Y HABILITACION LICEO CLARA SOLOVERA	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	115123
30130861-0	REPOSICION BIBLIOTECA MUNICIPAL JOSUE WADINGTON	ADMINISTRACION EDUCACION Y CULTURA	F.N.D.R.		46230
30131010-0	"REPOSICION ESCUELA EL TOTORAL, COMUNA DE EL QUISCO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	OT	96820
30132683-0	REPOSICION JARDIN INFANTIL Y SALA CUNA ARCO IRIS DE VALPARAÍSO	EDUCACION PREBASICA	SECTORIAL	FI	56339
30132690-0	REPOSICION JARDIN INFANTIL Y SALA CUNA GOLONDRINA DE VALPARAÍSO	EDUCACION PREBASICA	SECTORIAL	FI	53493
30136959-0	"MEJORAMIENTO MULTICANCHAS DE 4 ESCUELAS MUNICIPALES, PETORCA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	55257
20182193-0	"RESTAURACION CASA P. AGUIRRE CERDA Y ESCUELA AGRICOLA, CALLE LARGA."	ARTE Y CULTURA	F.N.D.R.	RS	1188972
20187772-0	AMPLIACION ESCUELA SAN JOSÉ DE CALASANZ	EDUCACION BASICA Y MEDIA	F.N.D.R. - SECTORIAL	RS	370104
20191423-0	CONSTRUCCION NUEVO ESTABLECIMIENTO ESCUELA SAN JOSE DE CALASANZ	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	932837
20192568-0	AMPLIACION LICEO JUAN DANTE PARRAGUEZ	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	754038
30004448-0	REPOSICION BIBLIOTECA PUBLICA  Y RADIO MUNICIPAL DE SANTA MARIA	ARTE Y CULTURA	F.N.D.R.	RS	866612
30028242-0	AMPLIACION ESCUELA ELISA LATAPIAT F-218	EDUCACION BASICA Y MEDIA	F.N.D.R. - SECTORIAL	RS	743073
30039654-0	REPOSICION ESCUELA 21 DE MAYO DE VIÑA DEL MAR	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	1290539
30040102-0	CONSTRUCCION LICEO TECNICO PROFESIONAL	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	888886
30042302-0	REPOSICION JARDIN INFANTIL FLIPPER - VALPARAISO	EDUCACION PREBASICA	F.N.D.R.	RS	390126
30042507-0	REPOSICION JARDIN INFANTIL PENECA DE SAN FELIPE	EDUCACION PREBASICA	F.N.D.R.	RS	440652
30064308-0	REPOSICION ESCUELA MARIA LEIVA DE IBAÑEZ LAS COIMAS PUTAENDO	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	355453
30064333-0	NORMALIZACION JARDIN INFANTIL TRENCITO DE PUTAENDO	EDUCACION PREBASICA	SECTORIAL	RS	433021
30064998-0	"REPOSICION MUSEO MUNICIPAL DE CIENCIAS Y ARQUEOLOGIA, SAN ANTONIO"	ARTE Y CULTURA	MUNICIPAL - F.N.D.R.	RS	2531617
30067192-0	REPOSICION PARCIAL LICEO A-37 COMUNA DE LIMACHE	EDUCACION MEDIA TECNICO	F.N.D.R.	RS	2009017
30069260-0	"NORMALIZACION Y AMPLIACION ESC. BASICA REPUBLICA DE FRANCIA,QUINTERO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	472092
30072489-0	"CONSTRUCCION CENTRO CULTURAL Y MULTIPROPOSITO, SANTA MARIA"	ARTE Y CULTURA	F.N.D.R.	RS	494956
30072780-0	"REPOSICION ESCUELA BASICA REPUBLICA ARGENTINA D-159, QUILLOTA "	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	885676
30077574-0	"RESTAURACION  TEATRO POMPEYA, PORTAL Y ENTORNO, V. ALEMANA"	ARTE Y CULTURA	F.N.D.R.	RS	878451
30078248-0	"CONSTRUCCION CENTRO INTERDISCIPLINARIO DE NEUROCIENCIA, VALPARAISO"	EDUCACION SUPERIOR	F.N.D.R.	OT	4446544
30078575-0	RESTAURACION IGLESIA Y MONASTERIO DEL BUEN PASTOR DE SAN FELIPE	ARTE Y CULTURA	F.N.D.R.	RS	2573722
30078609-0	RESTAURACION SANTUARIO SANTA FILOMENA Y ENTORNO DE SANTA MARIA	ARTE Y CULTURA	F.N.D.R.	RS	1107335
30078635-0	"RESTAURACION IGLESIA LOS PERALES ,CONVENTO Y ENTORNO, COMUNA QUILPUE"	ARTE Y CULTURA	F.N.D.R.	RS	569512
30078695-0	RESTAURACION Y PUESTA EN VALOR IGLESIA DE PETORCA Y SU ENTORNO	ARTE Y CULTURA	F.N.D.R.	RS	688642
30085114-0	"RESTAURACION IGLESIA SAN FRANCISCO DEL BARON, VALPARAISO"	ARTE Y CULTURA	F.N.D.R.	RS	3374340
30085586-0	CONSTRUCCION SEDE BAILE CHINO BOCO. QUILLOTA	ARTE Y CULTURA	F.N.D.R.	RS	92333
30087873-0	CATASTRO ARQUEOLÓGICO ZONA NORTE DE ISLA DE PASCUA	ARTE Y CULTURA	F.N.D.R.	RS	257024
30087910-0	"HABILITACION CENTRO CULTURAL ESTACION QUILLOTA, COMUNA DE QUILLOTA"	ARTE Y CULTURA	F.N.D.R.	RS	3203775
30093134-0	"REPOSICION ESCUELA BASICA EL MELÓN, NOGALES"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	1176438
30094647-0	"AMPLIACION ESCUELA AGUSTIN EDWARDS, LLAY LLAY"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	858578
30094667-0	"CONSTRUCCION COMPLEJO CULTURAL MUNICIPAL MUSEO INTERACTIVO, LA CRUZ"	INTERSUBSECTORIAL EDUCACION Y CULTURA	F.N.D.R.	OT	171762
30094784-0	"REPOSICION ESCUELA MULTIDEFICIT AMANECER, PUCHUNCAVI"	EDUCACION DIFERENCIAL Y ESPECIAL	F.N.D.R.	OT	1839369
30099636-0	"RESTAURACION PALACIO RIOJA, VIÑA DEL MAR"	ARTE Y CULTURA	SECTORIAL	RS	2598389
30099655-0	RESTAURACION  PALACIO CARRASCO DE VIÑA DEL MAR	ARTE Y CULTURA	F.N.D.R.	RS	4864912
30099775-0	RESTAURACION  PALACIO VERGARA DE VIÑA DEL MAR	ARTE Y CULTURA	F.N.D.R.	RS	5186444
30099807-0	RESTAURACION TEATRO MUNICIPAL DE VIÑA DEL MAR	ARTE Y CULTURA	F.N.D.R.	RS	8719797
30099997-0	"REPOSICION ESCUELA BASICA LOS BELLOTOS DE LA VEGA, OLMUE"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	615404
30100384-0	REPOSICION DE JARDIN INFANTIL JUNJI PULGARCITO DE VALPARAISO	EDUCACION PREBASICA	SECTORIAL	RS	527449
30100385-0	REPOSICION DE JARDIN INFANTIL JUNJI BAMBI DE VALPARAISO	EDUCACION PREBASICA	SECTORIAL	RS	494502
30100386-0	REPOSICION DE JARDIN INFANTIL JUNJI VELERITO DE SAN ANTONIO	EDUCACION PREBASICA	SECTORIAL	RS	640766
30100388-0	REPOSICION DE JARDIN INFANTIL JUNJI REMOLINO DE LLAY LLAY	EDUCACION PREBASICA	F.N.D.R.	RS	703256
30103817-0	CONSERVACION EDIFICIO ESCUELA DE DERECHO UNIVERSIDAD DE VALPARAÍSO	EDUCACION SUPERIOR	F.N.D.R.		438558
30107195-0	AMPLIACION Y NORMALIZACION LICEO DE ZAPALLAR.	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	460019
30108564-0	HABILITACION NUEVA MUSEOGRAFIA MUSEO HISTORIA NATURAL VALPARAISO	ARTE Y CULTURA	SECTORIAL	RS	1597991
30112436-0	REPARACION MUSEO ARQUEOLOGICO DE LOS ANDES	ARTE Y CULTURA	SECTORIAL	RS	45471
30113160-0	CONSERVACION CONDICIONES DE SEGURIDAD DE JARDINES INFANTILES	EDUCACION PREBASICA	F.N.D.R.		398028
30115136-0	ADQUISICION PC MOVILES PARA LICEO CLARA SOLOVERA EL QUISCO	EDUCACION BASICA Y MEDIA	F.N.D.R.		38902
30115848-0	"REPARACION ESCUELA LORENZO BAEZA VEGA, ISLA DE PASCUA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	1310339
30116596-0	AMPLIACION CAMPUS SAN FELIPE UNIVERSIDAD DE VALPARAISO.	EDUCACION SUPERIOR	F.N.D.R.	OT	3832775
30118119-0	"HABILITACION INFRAESTRUCTURA PARA EL LICEO BICENTENARIO, SAN ANTONIO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	1400899
30119565-0	CAPACITACION CONVIVENCIA ESCOLAR PARA MEJORAR EL CLIMA EN ESC. M	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	532970
30120364-0	RESTAURACION NAVE CENTRAL ESCUELA REPÚBLICA ARGENTINA. QUILLOTA	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	189381
30120769-0	CONSERVACION SECRETARIA REGIONAL MINISTERIAL DE EDUCACION VALPARAISO	ADMINISTRACION EDUCACION Y CULTURA	SECTORIAL		239211
30123138-0	ADQUISICION BUS PARA TRANSPORTE ESCOLAR	EDUCACION BASICA Y MEDIA	F.N.D.R.		98449
30123368-0	CONSERVACION BIBLIOTECA MUNICIPAL PAUL HARRIS. VILLA ALEMANA	ADMINISTRACION EDUCACION Y CULTURA	F.N.D.R.		37579
30124445-0	"ADQUISICION BUTACAS E ILUMINACION  ANFITEATRO P. NARANJOS,HIJUELAS "	ADMINISTRACION EDUCACION Y CULTURA	F.N.D.R.		250001
30124729-0	"ADQUISICION DE INSTRUMENTOS MUSICALES PAR ORQUESTA JUVENIL, PETORCA"	ARTE Y CULTURA	F.N.D.R.		19607
30127800-0	"AMPLIACION INFRAESTRUCTURA TEC PROF ESCUELA MEXICO, PLACILLA VALPO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	478935
30127841-0	"REPOSICION ESCUELA LEZANA PINCHEIRA, VIÑA DEL MAR"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	1153251
30129775-0	CONSERVACION LICEO COMERCIAL DE LOS ANDES	EDUCACION MEDIA TECNICO	SECTORIAL		149125
30129779-0	CONSERVACION LICEO INDUSTRIAL DE VALPARAÍSO	EDUCACION MEDIA TECNICO	SECTORIAL		113554
30129780-0	CONSERVACION LICEO INSTITUTO SUPERIOR DE COMERCIO ALBERTO BLEST GANA	EDUCACION MEDIA TECNICO	SECTORIAL		155517
30130080-0	CONSERVACION LICEO INDUSTRIAL GUILLERMO RICHARD CUEVAS	EDUCACION MEDIA TECNICO	SECTORIAL		39299
30130081-0	CONSERVACION LICEO AGRÍCOLA DE SAN FELIPE	EDUCACION MEDIA TECNICO	SECTORIAL		124652
30130082-0	CONSERVACION LICEO OSCAR CORONA BARAHONA	EDUCACION MEDIA TECNICO	SECTORIAL		135802
30130612-0	CONSTRUCCION JARDÍN INFANTIL ORO NEGRO CONCON	EDUCACION PREBASICA	MUNICIPAL - SECTORIAL	RS	243318
30130631-0	"AMPLIACION JARDIN INFANTIL MILLAHUE, COMUNA PUTAENDO"	EDUCACION PREBASICA	MUNICIPAL		125273
30130635-0	"AMPLIACION JARDIN INFANTIL PAKARIN, EL TARTARO"	EDUCACION PREBASICA	F.N.D.R.		81270
30130648-0	"CONSTRUCCION SALA CUNA JARDIN INFANTIL BARQUITO DE PAPEL, PAPUDO"	EDUCACION PREBASICA	SECTORIAL		234800
30130740-0	CONSERVACION SECREDUC  VALPARAISO - HABILITACIÓN ASCENSOR	INTERSUBSECTORIAL EDUCACION Y CULTURA	SECTORIAL		74100
